project_geographic_district,project_building_identifier,project_school_name,project_type,project_description,project_phase_name,project_phase_actual_start_date,project_phase_planned_end_date,project_phase_actual_end_date,project_budget_amount,final_estimate_of_actual_costs_through_end_of_phase_amount,total_phase_actual_spending_amount,dsf_number_s,failure,project_type_split
6,M128,P.S. 128 - MANHATTAN,SCA CIP,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,Design,10/17/2013,03/24/2014,05/28/2014,407400,374590.0,364470.0,0000775601,False,SCA
6,M128,P.S. 128 - MANHATTAN,SCA CIP,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,Design,10/17/2013,03/24/2014,05/28/2014,407400,374590.0,364470.0,0000763346,False,CIP
6,M128,P.S. 128 - MANHATTAN,SCA CIP,PLANYC BOILER CNVSN/PLANYC CLIMATE CTRL,Design,10/17/2013,03/24/2014,05/28/2014,407400,374590.0,364470.0,0000775601,False,CIP
6,M128,P.S. 128 - MANHATTAN,SCA IEH,IEH PO18-3RD FL CORRIDOR,Construction,05/15/2017,IEH,07/26/2017,IEH,236485.0,13338.0,0000046748,False,SCA
6,M128,P.S. 128 - MANHATTAN,SCA IEH,IEH PO18-3RD FL CORRIDOR,Construction,05/15/2017,IEH,07/26/2017,IEH,236485.0,13338.0,0000046748,False,IEH
6,M128,P.S. 128 - MANHATTAN,SCA IEH,IEH PO18-2ND FL CORRIDOR,Construction,07/25/2017,IEH,08/16/2017,IEH,0.0,0.0,0000047806,True,SCA
6,M128,P.S. 128 - MANHATTAN,SCA IEH,IEH PO18-2ND FL CORRIDOR,Construction,07/25/2017,IEH,08/16/2017,IEH,0.0,0.0,0000047806,True,IEH
6,M132,P.S. 132 - MANHATTAN,SCA CIP,DEFECTIVE WROUGHT IRON FENCE & HANDRAILS,Scope,04/06/2015,07/06/2015,06/15/2015,26751,23092.0,23092.0,0000809387,False,SCA
6,M132,P.S. 132 - MANHATTAN,SCA CIP,DEFECTIVE WROUGHT IRON FENCE & HANDRAILS,Scope,04/06/2015,07/06/2015,06/15/2015,26751,23092.0,23092.0,0000809387,False,CIP
6,M132,P.S. 132 - MANHATTAN,SCA CIP,DEFECTIVE WROUGHT IRON FENCE & HANDRAILS,Design,09/09/2015,01/28/2016,03/01/2016,107003,93561.0,76626.0,0000809387,False,SCA
6,M132,P.S. 132 - MANHATTAN,SCA CIP,DEFECTIVE WROUGHT IRON FENCE & HANDRAILS,Design,09/09/2015,01/28/2016,03/01/2016,107003,93561.0,76626.0,0000809387,False,CIP
6,M132,P.S. 132 - MANHATTAN,SCA CIP,WATER INFILTRATION,Scope,09/13/2017,02/01/2018,12/18/2017,117130,38249.0,1507.0,0000853418,False,SCA
6,M132,P.S. 132 - MANHATTAN,SCA CIP,WATER INFILTRATION,Scope,09/13/2017,02/01/2018,12/18/2017,117130,38249.0,1507.0,0000853418,False,CIP
6,M132,P.S. 132 - MANHATTAN,SCA CIP RESOA,FY16 RESO A PLAYGROUND REDEVELOPMENT,Scope,11/16/2016,02/17/2017,01/06/2017,0,22187.0,2989.0,0000822927,False,SCA
6,M132,P.S. 132 - MANHATTAN,SCA CIP RESOA,FY16 RESO A PLAYGROUND REDEVELOPMENT,Scope,11/16/2016,02/17/2017,01/06/2017,0,22187.0,2989.0,0000822927,False,CIP
6,M132,P.S. 132 - MANHATTAN,SCA CIP RESOA,FY16 RESO A PLAYGROUND REDEVELOPMENT,Scope,11/16/2016,02/17/2017,01/06/2017,0,22187.0,2989.0,0000822927,False,RESOA
6,M132,P.S. 132 - MANHATTAN,SCA IEH,IEH PO18-ROOM 502,Construction,10/06/2017,IEH,10/08/2017,IEH,15619.0,3288.0,0000048925,False,SCA
6,M132,P.S. 132 - MANHATTAN,SCA IEH,IEH PO18-ROOM 502,Construction,10/06/2017,IEH,10/08/2017,IEH,15619.0,3288.0,0000048925,False,IEH
6,M132,P.S. 132 - MANHATTAN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,05/16/2017,01/15/2018,08/10/2017,35000,34736.0,34736.0,0000845371,False,DIIT
6,M132,P.S. 132 - MANHATTAN,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,05/16/2017,01/15/2018,08/10/2017,35000,34736.0,34736.0,0000845371,False,RESOA
11,X722,X721 SPED - BRONX,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Scope,01/09/2015,06/11/2015,04/10/2015,80860,74670.0,73280.0,0000797329,False,SCA
11,X722,X721 SPED - BRONX,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Scope,01/09/2015,06/11/2015,04/10/2015,80860,74670.0,73280.0,0000798330,False,SCA
11,X722,X721 SPED - BRONX,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Scope,01/09/2015,06/11/2015,04/10/2015,80860,74670.0,73280.0,0000797329,False,CIP
11,X722,X721 SPED - BRONX,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Scope,01/09/2015,06/11/2015,04/10/2015,80860,74670.0,73280.0,0000798330,False,CIP
11,X722,X721 SPED - BRONX,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Design,04/17/2015,09/17/2015,11/23/2015,323438,195263.0,176953.0,0000797329,False,SCA
11,X722,X721 SPED - BRONX,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Design,04/17/2015,09/17/2015,11/23/2015,323438,195263.0,176953.0,0000798330,False,SCA
11,X722,X721 SPED - BRONX,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Design,04/17/2015,09/17/2015,11/23/2015,323438,195263.0,176953.0,0000797329,False,CIP
11,X722,X721 SPED - BRONX,SCA CIP,PLANYC BOILER CNVRSN/PLANYC CLIMATE CTRL,Design,04/17/2015,09/17/2015,11/23/2015,323438,195263.0,176953.0,0000798330,False,CIP
11,X839,BRONX HS FOR THE VISUAL ARTS,SCA CIP,COMPLETION OF PHASE II MERCY COLLEGE,Scope,07/25/2014,10/24/2014,12/08/2014,26760,13098.0,13098.0,0000799486,False,SCA
11,X839,BRONX HS FOR THE VISUAL ARTS,SCA CIP,COMPLETION OF PHASE II MERCY COLLEGE,Scope,07/25/2014,10/24/2014,12/08/2014,26760,13098.0,13098.0,0000799486,False,CIP
11,X839,BRONX HS FOR THE VISUAL ARTS,SCA CIP,COMPLETION OF PHASE II MERCY COLLEGE,Design,12/17/2014,06/22/2015,10/16/2015,98120,52527.0,41052.0,0000799486,False,SCA
11,X839,BRONX HS FOR THE VISUAL ARTS,SCA CIP,COMPLETION OF PHASE II MERCY COLLEGE,Design,12/17/2014,06/22/2015,10/16/2015,98120,52527.0,41052.0,0000799486,False,CIP
12,X006,P.S. 6 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,06/07/2017,07/07/2017,09/13/2017,40000,39695.0,39695.0,0000844647,False,DIIT
12,X006,P.S. 6 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,06/07/2017,07/07/2017,09/13/2017,40000,39695.0,39695.0,0000844647,False,RESOA
12,X006,P.S. 6 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,06/07/2017,07/07/2017,09/13/2017,60000,59550.0,59550.0,0000845397,False,DIIT
12,X006,P.S. 6 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,06/07/2017,07/07/2017,09/13/2017,60000,59550.0,59550.0,0000845397,False,RESOA
12,X044,P.S. 44 - BRONX,SCA CIP,EXTERIOR MASONRY/PARAPETS/ROOFS,Scope,07/10/2014,11/25/2014,02/06/2015,136725,163630.0,163630.0,0000794304,False,SCA
12,X044,P.S. 44 - BRONX,SCA CIP,EXTERIOR MASONRY/PARAPETS/ROOFS,Scope,07/10/2014,11/25/2014,02/06/2015,136725,163630.0,163630.0,0000817479,False,SCA
12,X044,P.S. 44 - BRONX,SCA CIP,EXTERIOR MASONRY/PARAPETS/ROOFS,Scope,07/10/2014,11/25/2014,02/06/2015,136725,163630.0,163630.0,0000822073,False,SCA
12,X044,P.S. 44 - BRONX,SCA CIP,EXTERIOR MASONRY/PARAPETS/ROOFS,Scope,07/10/2014,11/25/2014,02/06/2015,136725,163630.0,163630.0,0000794304,False,CIP
12,X044,P.S. 44 - BRONX,SCA CIP,EXTERIOR MASONRY/PARAPETS/ROOFS,Scope,07/10/2014,11/25/2014,02/06/2015,136725,163630.0,163630.0,0000817479,False,CIP
12,X044,P.S. 44 - BRONX,SCA CIP,EXTERIOR MASONRY/PARAPETS/ROOFS,Scope,07/10/2014,11/25/2014,02/06/2015,136725,163630.0,163630.0,0000822073,False,CIP
12,X044,P.S. 44 - BRONX,SCA CIP,EXTERIOR MASONRY/PARAPETS/ROOFS,Design,05/12/2015,10/13/2015,10/18/2016,546901,390303.0,318471.0,0000794304,False,SCA
12,X044,P.S. 44 - BRONX,SCA CIP,EXTERIOR MASONRY/PARAPETS/ROOFS,Design,05/12/2015,10/13/2015,10/18/2016,546901,390303.0,318471.0,0000817479,False,SCA
12,X044,P.S. 44 - BRONX,SCA CIP,EXTERIOR MASONRY/PARAPETS/ROOFS,Design,05/12/2015,10/13/2015,10/18/2016,546901,390303.0,318471.0,0000822073,False,SCA
12,X044,P.S. 44 - BRONX,SCA CIP,EXTERIOR MASONRY/PARAPETS/ROOFS,Design,05/12/2015,10/13/2015,10/18/2016,546901,390303.0,318471.0,0000794304,False,CIP
12,X044,P.S. 44 - BRONX,SCA CIP,EXTERIOR MASONRY/PARAPETS/ROOFS,Design,05/12/2015,10/13/2015,10/18/2016,546901,390303.0,318471.0,0000817479,False,CIP
12,X044,P.S. 44 - BRONX,SCA CIP,EXTERIOR MASONRY/PARAPETS/ROOFS,Design,05/12/2015,10/13/2015,10/18/2016,546901,390303.0,318471.0,0000822073,False,CIP
12,X044,P.S. 44 - BRONX,SCA IEH,IEH PO18-4TH FL GYM,Construction,08/10/2017,IEH,12/28/2017,IEH,69465.0,2504.0,0000048107,False,SCA
12,X044,P.S. 44 - BRONX,SCA IEH,IEH PO18-4TH FL GYM,Construction,08/10/2017,IEH,12/28/2017,IEH,69465.0,2504.0,0000048107,False,IEH
12,X044,P.S. 44 - BRONX,SCA IEH,"IEH PO18-RMS 412,413,262",Construction,08/18/2017,IEH,09/03/2017,IEH,97012.0,7558.0,0000048265,False,SCA
12,X044,P.S. 44 - BRONX,SCA IEH,"IEH PO18-RMS 412,413,262",Construction,08/18/2017,IEH,09/03/2017,IEH,97012.0,7558.0,0000048265,False,IEH
12,X050,P.S. 50 - BRONX,SCA CIP,SWITCH GEAR REPLACEMENT,Scope,03/18/2016,07/19/2016,09/09/2016,23400,15597.0,15597.0,0000839573,False,SCA
12,X050,P.S. 50 - BRONX,SCA CIP,SWITCH GEAR REPLACEMENT,Scope,03/18/2016,07/19/2016,09/09/2016,23400,15597.0,15597.0,0000839573,False,CIP
12,X050,P.S. 50 - BRONX,SCA CIP,SWITCH GEAR REPLACEMENT,Design,09/14/2016,02/17/2017,04/21/2017,93600,62579.0,62579.0,0000839573,False,SCA
12,X050,P.S. 50 - BRONX,SCA CIP,SWITCH GEAR REPLACEMENT,Design,09/14/2016,02/17/2017,04/21/2017,93600,62579.0,62579.0,0000839573,False,CIP
12,X050,FAIRMONT NEIGHBORHOOD SCHOOL,SCA IEH,"IEH PO18-VESTIBULE EXIT 4 1ST FLR, STAIRCASE B 1ST",Construction,05/08/2017,IEH,09/03/2017,IEH,79285.0,4338.0,0000046593,False,SCA
12,X050,FAIRMONT NEIGHBORHOOD SCHOOL,SCA IEH,"IEH PO18-VESTIBULE EXIT 4 1ST FLR, STAIRCASE B 1ST",Construction,05/08/2017,IEH,09/03/2017,IEH,79285.0,4338.0,0000046593,False,IEH
12,X050,FAIRMONT NEIGHBORHOOD SCHOOL,SCA IEH,IEH PO18-STAIRCASE B 1ST FL,Construction,05/23/2017,IEH,07/11/2017,IEH,0.0,0.0,0000046930,True,SCA
12,X050,FAIRMONT NEIGHBORHOOD SCHOOL,SCA IEH,IEH PO18-STAIRCASE B 1ST FL,Construction,05/23/2017,IEH,07/11/2017,IEH,0.0,0.0,0000046930,True,IEH
12,X050,FAIRMONT NEIGHBORHOOD SCHOOL,SCA IEH,"IEH PO18-STAIRCASE A 1ST FLR,STAIRCASE A BETWN 1ST",Construction,05/25/2017,IEH,08/19/2017,IEH,26530.0,5130.0,0000046970,False,SCA
12,X050,FAIRMONT NEIGHBORHOOD SCHOOL,SCA IEH,"IEH PO18-STAIRCASE A 1ST FLR,STAIRCASE A BETWN 1ST",Construction,05/25/2017,IEH,08/19/2017,IEH,26530.0,5130.0,0000046970,False,IEH
12,X057,P.S. 57 - BRONX,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/ROOFS/PARAPETS,Scope,01/19/2016,06/02/2016,07/21/2016,71858,83393.0,65838.0,0000839662,False,SCA
12,X057,P.S. 57 - BRONX,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/ROOFS/PARAPETS,Scope,01/19/2016,06/02/2016,07/21/2016,71858,83393.0,65838.0,0000839664,False,SCA
12,X057,P.S. 57 - BRONX,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/ROOFS/PARAPETS,Scope,01/19/2016,06/02/2016,07/21/2016,71858,83393.0,65838.0,0000839665,False,SCA
12,X057,P.S. 57 - BRONX,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/ROOFS/PARAPETS,Scope,01/19/2016,06/02/2016,07/21/2016,71858,83393.0,65838.0,0000844740,False,SCA
12,X057,P.S. 57 - BRONX,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/ROOFS/PARAPETS,Scope,01/19/2016,06/02/2016,07/21/2016,71858,83393.0,65838.0,0000839662,False,CIP
12,X057,P.S. 57 - BRONX,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/ROOFS/PARAPETS,Scope,01/19/2016,06/02/2016,07/21/2016,71858,83393.0,65838.0,0000839664,False,CIP
12,X057,P.S. 57 - BRONX,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/ROOFS/PARAPETS,Scope,01/19/2016,06/02/2016,07/21/2016,71858,83393.0,65838.0,0000839665,False,CIP
12,X057,P.S. 57 - BRONX,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/ROOFS/PARAPETS,Scope,01/19/2016,06/02/2016,07/21/2016,71858,83393.0,65838.0,0000844740,False,CIP
12,X057,P.S. 57 - BRONX,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/ROOFS/PARAPETS,Design,09/06/2016,02/09/2017,07/24/2017,277763,178662.0,74693.0,0000839662,False,SCA
