project_geographic_district,project_building_identifier,project_school_name,project_type,project_description,project_phase_name,project_phase_actual_start_date,project_phase_planned_end_date,project_phase_actual_end_date,project_budget_amount,final_estimate_of_actual_costs_through_end_of_phase_amount,total_phase_actual_spending_amount,dsf_number_s,failure,project_type_split
10,X254,I.S. 254 - BRONX,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Scope,07/27/2017,11/27/2017,08/03/2017,0,1792.0,1792.0,0000823560,False,SCA
10,X254,I.S. 254 - BRONX,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Scope,07/27/2017,11/27/2017,08/03/2017,0,1792.0,1792.0,0000823560,False,CIP
10,X254,I.S. 254 - BRONX,SCA CIP RESOA,FY16 RESO A IP SURVEILLANCE CAMERA INSTALLATION,Scope,07/27/2017,11/27/2017,08/03/2017,0,1792.0,1792.0,0000823560,False,RESOA
10,X254,I.S. 254 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,05/15/2017,01/15/2018,09/14/2017,50000,49625.0,49625.0,0000844624,False,DIIT
10,X254,I.S. 254 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,05/15/2017,01/15/2018,09/14/2017,50000,49625.0,49625.0,0000844624,False,RESOA
10,X254,I.S. 254 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,05/15/2017,01/15/2018,09/14/2017,76250,75677.0,75677.0,0000845571,False,DIIT
10,X254,I.S. 254 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,05/15/2017,01/15/2018,09/14/2017,76250,75677.0,75677.0,0000845571,False,RESOA
10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Scope,08/02/2016,12/19/2016,02/13/2017,36881,57074.0,56288.0,0000820035,False,SCA
10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Scope,08/02/2016,12/19/2016,02/13/2017,36881,57074.0,56288.0,0000866151,False,SCA
10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Scope,08/02/2016,12/19/2016,02/13/2017,36881,57074.0,56288.0,0000820035,False,CIP
10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Scope,08/02/2016,12/19/2016,02/13/2017,36881,57074.0,56288.0,0000866151,False,CIP
10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Design,05/15/2017,10/16/2017,12/18/2017,141246,183396.0,180358.0,0000820035,False,SCA
10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Design,05/15/2017,10/16/2017,12/18/2017,141246,183396.0,180358.0,0000866151,False,SCA
10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Design,05/15/2017,10/16/2017,12/18/2017,141246,183396.0,180358.0,0000820035,False,CIP
10,X279,P.S. 279 - BRONX,SCA CIP,WATER PENETRATION/ROOFS,Design,05/15/2017,10/16/2017,12/18/2017,141246,183396.0,180358.0,0000866151,False,CIP
10,X283,I.S. 228 - BRONX,SCA Furniture & Equi,FY17 RESO A MOBILE SCIENCE LAB,F&E,03/13/2017,F&E,11/13/2017,62000,62000.0,61974.0,0000845399,False,SCA
10,X340,P.S. 340 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,05/01/2017,01/15/2018,07/27/2017,50000,49621.0,49621.0,0000845054,False,DIIT
10,X340,P.S. 340 - BRONX,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,05/01/2017,01/15/2018,07/27/2017,50000,49621.0,49621.0,0000845054,False,RESOA
10,X368,M.S./H.S. 368 - BRONX,SCA CIP,PAVED AREAS CONCRETE,Scope,05/13/2014,09/26/2014,09/10/2014,8017,23855.0,23855.0,0000799913,True,SCA
10,X368,M.S./H.S. 368 - BRONX,SCA CIP,PAVED AREAS CONCRETE,Scope,05/13/2014,09/26/2014,09/10/2014,8017,23855.0,23855.0,0000799913,True,CIP
10,X368,M.S./H.S. 368 - BRONX,SCA CIP,PAVED AREAS CONCRETE,Design,10/15/2014,03/20/2015,04/28/2015,29395,80349.0,64886.0,0000799913,True,SCA
10,X368,M.S./H.S. 368 - BRONX,SCA CIP,PAVED AREAS CONCRETE,Design,10/15/2014,03/20/2015,04/28/2015,29395,80349.0,64886.0,0000799913,True,CIP
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,BOILER FOR SWIMMING,Scope,04/30/2013,09/13/2013,06/21/2013,43040,41498.0,41498.0,0000775984,False,SCA
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,BOILER FOR SWIMMING,Scope,04/30/2013,09/13/2013,06/21/2013,43040,41498.0,41498.0,0000775984,False,CIP
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,BOILER FOR SWIMMING,Design,07/17/2013,12/18/2013,02/03/2014,150640,204664.0,204664.0,0000775984,False,SCA
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,BOILER FOR SWIMMING,Design,07/17/2013,12/18/2013,02/03/2014,150640,204664.0,204664.0,0000775984,False,CIP
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Scope,06/29/2016,10/28/2016,01/17/2017,6840,22583.0,22583.0,0000843858,True,SCA
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Scope,06/29/2016,10/28/2016,01/17/2017,6840,22583.0,22583.0,0000843858,True,CIP
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Design,01/17/2017,07/17/2017,04/20/2017,25080,59165.0,59165.0,0000843858,True,SCA
10,X430,M.S./H.S. 342 - BRONX,SCA CIP,IP SURVEILLANCE CAMERAS,Design,01/17/2017,07/17/2017,04/20/2017,25080,59165.0,59165.0,0000843858,True,CIP
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Scope,05/20/2013,05/20/2013,05/20/2013,758294,219702.0,219702.0,0000774339,True,SCA
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Scope,05/20/2013,05/20/2013,05/20/2013,758294,219702.0,219702.0,0000774340,True,SCA
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Scope,05/20/2013,05/20/2013,05/20/2013,758294,219702.0,219702.0,0000774341,True,SCA
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Scope,05/20/2013,05/20/2013,05/20/2013,758294,219702.0,219702.0,0000775991,True,SCA
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Scope,05/20/2013,05/20/2013,05/20/2013,758294,219702.0,219702.0,0000774339,True,CIP
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Scope,05/20/2013,05/20/2013,05/20/2013,758294,219702.0,219702.0,0000774340,True,CIP
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Scope,05/20/2013,05/20/2013,05/20/2013,758294,219702.0,219702.0,0000774341,True,CIP
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Scope,05/20/2013,05/20/2013,05/20/2013,758294,219702.0,219702.0,0000775991,True,CIP
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Design,05/20/2013,10/21/2013,11/06/2013,3033180,861780.0,848735.0,0000774339,False,SCA
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Design,05/20/2013,10/21/2013,11/06/2013,3033180,861780.0,848735.0,0000774340,False,SCA
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Design,05/20/2013,10/21/2013,11/06/2013,3033180,861780.0,848735.0,0000774341,False,SCA
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Design,05/20/2013,10/21/2013,11/06/2013,3033180,861780.0,848735.0,0000775991,False,SCA
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Design,05/20/2013,10/21/2013,11/06/2013,3033180,861780.0,848735.0,0000774339,False,CIP
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Design,05/20/2013,10/21/2013,11/06/2013,3033180,861780.0,848735.0,0000774340,False,CIP
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Design,05/20/2013,10/21/2013,11/06/2013,3033180,861780.0,848735.0,0000774341,False,CIP
10,X435,I.S. 243 - BRONX,SCA CIP,ROOFS/PARAPETS/EXT MASONRY/WINDOWS,Design,05/20/2013,10/21/2013,11/06/2013,3033180,861780.0,848735.0,0000775991,False,CIP
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP,IP SURVEILLANCE CAMERAS,Scope,09/16/2016,01/20/2017,01/25/2017,9144,17497.0,17497.0,0000843859,False,SCA
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP,IP SURVEILLANCE CAMERAS,Scope,09/16/2016,01/20/2017,01/25/2017,9144,17497.0,17497.0,0000843859,False,CIP
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP,IP SURVEILLANCE CAMERAS,Design,01/25/2017,07/25/2017,04/20/2017,33528,44436.0,44436.0,0000843859,False,SCA
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP,IP SURVEILLANCE CAMERAS,Design,01/25/2017,07/25/2017,04/20/2017,33528,44436.0,44436.0,0000843859,False,CIP
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,Scope,01/14/2016,05/16/2016,04/20/2016,0,26643.0,26643.0,0000822352,False,SCA
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,Scope,01/14/2016,05/16/2016,04/20/2016,0,26643.0,26643.0,0000822352,False,CIP
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,Scope,01/14/2016,05/16/2016,04/20/2016,0,26643.0,26643.0,0000822352,False,RESOA
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,Design,06/01/2016,10/17/2016,10/14/2016,156000,106569.0,106569.0,0000822352,False,SCA
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,Design,06/01/2016,10/17/2016,10/14/2016,156000,106569.0,106569.0,0000822352,False,CIP
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA CIP RESOA,FY16 RESO A LIBRARY UPGRADE,Design,06/01/2016,10/17/2016,10/14/2016,156000,106569.0,106569.0,0000822352,False,RESOA
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA IEH,IEH PO18-STAGE ELECTRICAL PANEL,Construction,10/19/2016,IEH,07/01/2017,IEH,24240.0,5192.0,0000043425,False,SCA
10,X435,FORDHAM HS FOR THE ARTS - BRON,SCA IEH,IEH PO18-STAGE ELECTRICAL PANEL,Construction,10/19/2016,IEH,07/01/2017,IEH,24240.0,5192.0,0000043425,False,IEH
10,X435,FORDHAM HS FOR THE ARTS - BX,SCA IEH,"IEH PO18-CUSTODIANS TOILET,GIRLS LOCKER RM VESTIBU",Construction,04/06/2017,IEH,08/09/2017,IEH,21800.0,1894.0,0000046168,False,SCA
10,X435,FORDHAM HS FOR THE ARTS - BX,SCA IEH,"IEH PO18-CUSTODIANS TOILET,GIRLS LOCKER RM VESTIBU",Construction,04/06/2017,IEH,08/09/2017,IEH,21800.0,1894.0,0000046168,False,IEH
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Scope,10/03/2012,02/22/2013,09/10/2013,407835,317409.0,295273.0,0000754569,False,SCA
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Scope,10/03/2012,02/22/2013,09/10/2013,407835,317409.0,295273.0,0000797100,False,SCA
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Scope,10/03/2012,02/22/2013,09/10/2013,407835,317409.0,295273.0,0000798647,False,SCA
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Scope,10/03/2012,02/22/2013,09/10/2013,407835,317409.0,295273.0,0000821913,False,SCA
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Scope,10/03/2012,02/22/2013,09/10/2013,407835,317409.0,295273.0,0000754569,False,CIP
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Scope,10/03/2012,02/22/2013,09/10/2013,407835,317409.0,295273.0,0000797100,False,CIP
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Scope,10/03/2012,02/22/2013,09/10/2013,407835,317409.0,295273.0,0000798647,False,CIP
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Scope,10/03/2012,02/22/2013,09/10/2013,407835,317409.0,295273.0,0000821913,False,CIP
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Design,12/18/2013,05/21/2014,03/10/2015,1631340,1136024.0,978157.0,0000754569,False,SCA
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Design,12/18/2013,05/21/2014,03/10/2015,1631340,1136024.0,978157.0,0000797100,False,SCA
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Design,12/18/2013,05/21/2014,03/10/2015,1631340,1136024.0,978157.0,0000798647,False,SCA
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Design,12/18/2013,05/21/2014,03/10/2015,1631340,1136024.0,978157.0,0000821913,False,SCA
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Design,12/18/2013,05/21/2014,03/10/2015,1631340,1136024.0,978157.0,0000754569,False,CIP
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Design,12/18/2013,05/21/2014,03/10/2015,1631340,1136024.0,978157.0,0000797100,False,CIP
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Design,12/18/2013,05/21/2014,03/10/2015,1631340,1136024.0,978157.0,0000798647,False,CIP
10,X440,DEWITT CLINTON HS - X,SCA CIP,EXTERIOR MASONRY/FLOOD ELIMINATION/PARAPETS/ROOF,Design,12/18/2013,05/21/2014,03/10/2015,1631340,1136024.0,978157.0,0000821913,False,CIP
10,X440,DEWITT CLINTON HS - X,SCA CIP,GYM UPGRADE,Scope,11/22/2013,03/21/2014,03/03/2014,60456,61373.0,61373.0,0000774374,False,SCA
10,X440,DEWITT CLINTON HS - X,SCA CIP,GYM UPGRADE,Scope,11/22/2013,03/21/2014,03/03/2014,60456,61373.0,61373.0,0000774374,False,CIP
10,X440,DEWITT CLINTON HS - X,SCA CIP,GYM UPGRADE,Design,03/28/2014,09/26/2014,09/23/2014,241822,269123.0,259555.0,0000774374,False,SCA
10,X440,DEWITT CLINTON HS - X,SCA CIP,GYM UPGRADE,Design,03/28/2014,09/26/2014,09/23/2014,241822,269123.0,259555.0,0000774374,False,CIP
10,X440,DEWITT CLINTON HS - X,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,10/24/2017,02/23/2018,11/30/2017,12874,1572.0,1572.0,0000867078,False,SCA
10,X440,DEWITT CLINTON HS - X,SCA CIP,IP DIGITAL VIDEO SURVEILLANCE SYSTEM,Scope,10/24/2017,02/23/2018,11/30/2017,12874,1572.0,1572.0,0000867078,False,CIP
10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,FY15 RESO A CAFETERIA UPGRADE,Scope,01/26/2015,05/27/2015,04/02/2015,0,34470.0,34470.0,0000800078,False,SCA
10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,FY15 RESO A CAFETERIA UPGRADE,Scope,01/26/2015,05/27/2015,04/02/2015,0,34470.0,34470.0,0000800078,False,CIP
10,X440,DEWITT CLINTON HS - X,SCA CIP RESOA,FY15 RESO A CAFETERIA UPGRADE,Scope,01/26/2015,05/27/2015,04/02/2015,0,34470.0,34470.0,0000800078,False,RESOA
10,X444,PRE-K CENTER @ 2510 MARION AVE,PRE-K,LEASE,Scope,05/06/2015,05/13/2015,05/13/2015,229175,168448.0,168448.0,0000822032,False,PRE-K
10,X444,PRE-K CENTER @ 2510 MARION AVE,PRE-K,LEASE,Design,05/14/2015,09/22/2015,12/30/2015,733360,783855.0,623316.0,0000822032,False,PRE-K
10,X444,PRE-K CENTER @ 2510 MARION AVE,PRE-K,LEASE,Construction,03/18/2016,09/08/2017,09/05/2017,10285374,10060052.0,9878486.0,0000822032,False,PRE-K
10,X444,PRE-K CENTER @ 2510 MARION AVE,PRE-K,LEASE,"CM, F&E",03/18/2016,09/08/2017,09/05/2017,1811017,1406947.0,1339927.0,0000822032,False,PRE-K
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,ROOF REPLACEMENT/PARAPETS,Scope,01/30/2015,06/16/2015,05/01/2015,134776,41223.0,41221.0,0000820291,False,SCA
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,ROOF REPLACEMENT/PARAPETS,Scope,01/30/2015,06/16/2015,05/01/2015,134776,41223.0,41221.0,0000822171,False,SCA
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,ROOF REPLACEMENT/PARAPETS,Scope,01/30/2015,06/16/2015,05/01/2015,134776,41223.0,41221.0,0000820291,False,CIP
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,ROOF REPLACEMENT/PARAPETS,Scope,01/30/2015,06/16/2015,05/01/2015,134776,41223.0,41221.0,0000822171,False,CIP
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,ROOF REPLACEMENT/PARAPETS,Design,06/25/2015,11/27/2015,09/29/2015,539100,120430.0,116692.0,0000820291,False,SCA
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,ROOF REPLACEMENT/PARAPETS,Design,06/25/2015,11/27/2015,09/29/2015,539100,120430.0,116692.0,0000822171,False,SCA
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,ROOF REPLACEMENT/PARAPETS,Design,06/25/2015,11/27/2015,09/29/2015,539100,120430.0,116692.0,0000820291,False,CIP
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,ROOF REPLACEMENT/PARAPETS,Design,06/25/2015,11/27/2015,09/29/2015,539100,120430.0,116692.0,0000822171,False,CIP
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,GYM CEILING,Scope,04/07/2017,08/08/2017,06/13/2017,20818,24058.0,24058.0,0000864171,False,SCA
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,GYM CEILING,Scope,04/07/2017,08/08/2017,06/13/2017,20818,24058.0,24058.0,0000864171,False,CIP
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,GYM CEILING,Design,07/19/2017,12/05/2017,12/07/2017,83273,102866.0,96356.0,0000864171,False,SCA
10,X445,BRONX HS OF SCIENCE - X,SCA CIP,GYM CEILING,Design,07/19/2017,12/05/2017,12/07/2017,83273,102866.0,96356.0,0000864171,False,CIP
10,X445,BRONX HS OF SCIENCE - X,SCA IEH,"IEH PO18-ROOMS 029,029B,109,124",Construction,02/27/2017,IEH,07/15/2017,IEH,66649.0,6304.0,0000045438,False,SCA
10,X445,BRONX HS OF SCIENCE - X,SCA IEH,"IEH PO18-ROOMS 029,029B,109,124",Construction,02/27/2017,IEH,07/15/2017,IEH,66649.0,6304.0,0000045438,False,IEH
10,X445,BRONX HS OF SCIENCE - X,SCA IEH,IEH PO18-AUDITORIUM,Construction,07/20/2017,IEH,08/04/2017,IEH,41408.0,6724.0,0000047766,False,SCA
10,X445,BRONX HS OF SCIENCE - X,SCA IEH,IEH PO18-AUDITORIUM,Construction,07/20/2017,IEH,08/04/2017,IEH,41408.0,6724.0,0000047766,False,IEH
10,X448,P.S. 340 ANNEX - BRONX,SCA CIP,EARLY PKG.- DETENTION TANK,Scope,12/11/2017,12/11/2017,12/11/2017,30000,0.0,0.0,0000798176,True,SCA
10,X448,P.S. 340 ANNEX - BRONX,SCA CIP,EARLY PKG.- DETENTION TANK,Scope,12/11/2017,12/11/2017,12/11/2017,30000,0.0,0.0,0000798176,True,CIP
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,SCIENCE LAB UPGRADE,Scope,06/01/2012,10/17/2012,10/19/2012,110940,103978.0,103978.0,0000753048,False,SCA
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,SCIENCE LAB UPGRADE,Scope,06/01/2012,10/17/2012,10/19/2012,110940,103978.0,103978.0,0000753048,False,CIP
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,SCIENCE LAB UPGRADE,Design,03/27/2013,09/26/2013,11/08/2013,388290,329925.0,316570.0,0000753048,False,SCA
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,SCIENCE LAB UPGRADE,Design,03/27/2013,09/26/2013,11/08/2013,388290,329925.0,316570.0,0000753048,False,CIP
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,SCIENCE LAB UPGRADE,Construction,04/07/2014,01/26/2016,01/30/2017,6295845,6201593.0,5989027.0,0000753048,False,SCA
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,SCIENCE LAB UPGRADE,Construction,04/07/2014,01/26/2016,01/30/2017,6295845,6201593.0,5989027.0,0000753048,False,CIP
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,SCIENCE LAB UPGRADE,"CM, F&E",04/07/2014,01/26/2016,01/30/2017,551018,595580.0,594538.0,0000753048,False,SCA
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,SCIENCE LAB UPGRADE,"CM, F&E",04/07/2014,01/26/2016,01/30/2017,551018,595580.0,594538.0,0000753048,False,CIP
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Scope,08/19/2014,01/07/2015,07/27/2015,166366,225758.0,206813.0,0000797229,False,SCA
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Scope,08/19/2014,01/07/2015,07/27/2015,166366,225758.0,206813.0,0000820383,False,SCA
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Scope,08/19/2014,01/07/2015,07/27/2015,166366,225758.0,206813.0,0000820385,False,SCA
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Scope,08/19/2014,01/07/2015,07/27/2015,166366,225758.0,206813.0,0000820386,False,SCA
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Scope,08/19/2014,01/07/2015,07/27/2015,166366,225758.0,206813.0,0000797229,False,CIP
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Scope,08/19/2014,01/07/2015,07/27/2015,166366,225758.0,206813.0,0000820383,False,CIP
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Scope,08/19/2014,01/07/2015,07/27/2015,166366,225758.0,206813.0,0000820385,False,CIP
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Scope,08/19/2014,01/07/2015,07/27/2015,166366,225758.0,206813.0,0000820386,False,CIP
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Design,10/07/2015,03/14/2016,07/05/2016,659453,627318.0,350802.0,0000797229,False,SCA
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Design,10/07/2015,03/14/2016,07/05/2016,659453,627318.0,350802.0,0000820383,False,SCA
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Design,10/07/2015,03/14/2016,07/05/2016,659453,627318.0,350802.0,0000820385,False,SCA
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Design,10/07/2015,03/14/2016,07/05/2016,659453,627318.0,350802.0,0000820386,False,SCA
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Design,10/07/2015,03/14/2016,07/05/2016,659453,627318.0,350802.0,0000797229,False,CIP
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Design,10/07/2015,03/14/2016,07/05/2016,659453,627318.0,350802.0,0000820383,False,CIP
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Design,10/07/2015,03/14/2016,07/05/2016,659453,627318.0,350802.0,0000820385,False,CIP
10,X475,JOHN F. KENNEDY HS - BRONX,SCA CIP,EXT MASONRY/FLOOD/PARAPETS/ROOFS,Design,10/07/2015,03/14/2016,07/05/2016,659453,627318.0,350802.0,0000820386,False,CIP
2,M660,SCHOOL OF THE FUTURE - MANHATT,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,05/01/2017,01/15/2018,07/06/2017,70000,69473.0,69473.0,0000845312,False,DIIT
2,M660,SCHOOL OF THE FUTURE - MANHATT,DIIT - RESOA,FY17 RESO A TECHNOLOGY,Purch & Install,05/01/2017,01/15/2018,07/06/2017,70000,69473.0,69473.0,0000845312,False,RESOA
2,M661,OLD MABLE DEAN BACON VOC HS AX,SCA CIP,WORK REQUIRED TO OBTAIN C OF O,Scope,07/22/2008,09/08/2008,09/16/2008,15000,34136.0,33979.0,0000622222,True,SCA
2,M661,OLD MABLE DEAN BACON VOC HS AX,SCA CIP,WORK REQUIRED TO OBTAIN C OF O,Scope,07/22/2008,09/08/2008,09/16/2008,15000,34136.0,33979.0,0000622222,True,CIP
2,M661,OLD MABLE DEAN BACON VOC HS AX,SCA CIP,WORK REQUIRED TO OBTAIN C OF O,Design,09/16/2008,10/30/2008,09/16/2008,55000,171391.0,146190.0,0000622222,True,SCA
